Scenario,Cycle,Input_Temp,Input_Contam,Input_Load,Input_Maint,Input_Vibration,LinearGuide_Health,LinearGuide_Status,RecoaterMotor_Health,RecoaterMotor_Status,RecoaterBlade_Health,RecoaterBlade_Status,HeatingElement_Health,HeatingElement_Status,NozzlePlate_Health,NozzlePlate_Status
Normal_Laboratori,1,21.34,0.03,10.89,0.5,0.12,0.983,FUNCTIONAL,1.0,FUNCTIONAL,0.998,FUNCTIONAL,0.999,FUNCTIONAL,1.0,FUNCTIONAL
Normal_Laboratori,2,21.63,0.02,10.33,0.5,0.12,0.968,FUNCTIONAL,1.0,FUNCTIONAL,0.996,FUNCTIONAL,0.997,FUNCTIONAL,1.0,FUNCTIONAL
Normal_Laboratori,3,20.48,0.01,9.38,0.5,0.12,0.954,FUNCTIONAL,1.0,FUNCTIONAL,0.994,FUNCTIONAL,0.996,FUNCTIONAL,0.999,FUNCTIONAL
Normal_Laboratori,4,20.03,0.01,10.32,0.5,0.14,0.939,FUNCTIONAL,1.0,FUNCTIONAL,0.992,FUNCTIONAL,0.994,FUNCTIONAL,0.999,FUNCTIONAL
Normal_Laboratori,5,19.11,0.02,11.02,0.5,0.13,0.923,FUNCTIONAL,1.0,FUNCTIONAL,0.99,FUNCTIONAL,0.993,FUNCTIONAL,0.999,FUNCTIONAL
Normal_Laboratori,6,19.05,0.02,10.06,0.5,0.15,0.909,FUNCTIONAL,1.0,FUNCTIONAL,0.987,FUNCTIONAL,0.992,FUNCTIONAL,0.999,FUNCTIONAL
Normal_Laboratori,7,19.61,0.01,10.27,0.5,0.15,0.895,FUNCTIONAL,1.0,FUNCTIONAL,0.985,FUNCTIONAL,0.99,FUNCTIONAL,0.999,FUNCTIONAL
Normal_Laboratori,8,20.22,0.01,11.37,0.5,0.16,0.88,FUNCTIONAL,1.0,FUNCTIONAL,0.983,FUNCTIONAL,0.989,FUNCTIONAL,0.998,FUNCTIONAL
Normal_Laboratori,9,21.34,0.02,10.43,0.5,0.16,0.865,FUNCTIONAL,1.0,FUNCTIONAL,0.981,FUNCTIONAL,0.987,FUNCTIONAL,0.998,FUNCTIONAL
Normal_Laboratori,10,21.63,0.03,9.39,0.5,0.18,0.853,FUNCTIONAL,1.0,FUNCTIONAL,0.979,FUNCTIONAL,0.986,FUNCTIONAL,0.998,FUNCTIONAL
