Scenario,Cycle,Input_Temp,Input_Contam,Input_Load,Input_Maint,Input_Vibration,Rail_Health,Rail_Status,Motor_Health,Motor_Status,Recoater_Health,Recoater_Status,Nozzle_Health,Nozzle_Status,Heater_Health,Heater_Status
Sobreproducció 24/7,1,27.72,0.2,50.0,0.5,0.13,0.907,FUNCTIONAL,1.0,FUNCTIONAL,0.993,FUNCTIONAL,0.997,FUNCTIONAL,0.993,FUNCTIONAL
Sobreproducció 24/7,2,28.35,0.18,50.0,0.5,0.18,0.824,FUNCTIONAL,1.0,FUNCTIONAL,0.985,FUNCTIONAL,0.993,FUNCTIONAL,0.986,FUNCTIONAL
Sobreproducció 24/7,3,29.14,0.19,50.0,0.5,0.21,0.749,DEGRADED,0.999,FUNCTIONAL,0.978,FUNCTIONAL,0.99,FUNCTIONAL,0.979,FUNCTIONAL
Sobreproducció 24/7,4,27.67,0.17,50.0,0.58,0.24,0.685,DEGRADED,0.998,FUNCTIONAL,0.971,FUNCTIONAL,0.987,FUNCTIONAL,0.973,FUNCTIONAL
Sobreproducció 24/7,5,24.81,0.17,50.0,0.67,0.27,0.63,DEGRADED,0.998,FUNCTIONAL,0.964,FUNCTIONAL,0.985,FUNCTIONAL,0.967,FUNCTIONAL
Sobreproducció 24/7,6,25.21,0.14,50.0,0.76,0.3,0.584,DEGRADED,0.997,FUNCTIONAL,0.958,FUNCTIONAL,0.983,FUNCTIONAL,0.962,FUNCTIONAL
Sobreproducció 24/7,7,26.8,0.14,50.0,0.82,0.27,0.544,DEGRADED,0.996,FUNCTIONAL,0.952,FUNCTIONAL,0.981,FUNCTIONAL,0.956,FUNCTIONAL
Sobreproducció 24/7,8,29.37,0.11,50.0,0.88,0.33,0.51,DEGRADED,0.995,FUNCTIONAL,0.946,FUNCTIONAL,0.979,FUNCTIONAL,0.952,FUNCTIONAL
Sobreproducció 24/7,9,31.05,0.1,50.0,0.94,0.35,0.479,CRITICAL,0.995,FUNCTIONAL,0.941,FUNCTIONAL,0.978,FUNCTIONAL,0.947,FUNCTIONAL
Sobreproducció 24/7,10,30.57,0.07,50.0,0.98,0.32,0.453,CRITICAL,0.994,FUNCTIONAL,0.935,FUNCTIONAL,0.976,FUNCTIONAL,0.942,FUNCTIONAL
Sobreproducció 24/7,11,29.13,0.03,50.0,1.0,0.35,0.43,CRITICAL,0.993,FUNCTIONAL,0.93,FUNCTIONAL,0.976,FUNCTIONAL,0.938,FUNCTIONAL
Sobreproducció 24/7,12,27.4,0.0,50.0,1.0,0.38,0.409,CRITICAL,0.992,FUNCTIONAL,0.925,FUNCTIONAL,0.975,FUNCTIONAL,0.934,FUNCTIONAL
Sobreproducció 24/7,13,24.87,0.0,50.0,1.0,0.37,0.389,CRITICAL,0.991,FUNCTIONAL,0.919,FUNCTIONAL,0.975,FUNCTIONAL,0.929,FUNCTIONAL
