Scenario,Cycle,Input_Temp,Input_Contam,Input_Load,Input_Maint,Input_Vibration,Rail_Health,Rail_Status,Motor_Health,Motor_Status,Recoater_Health,Recoater_Status,Nozzle_Health,Nozzle_Status,Heater_Health,Heater_Status
Sobreproducció 24/7,14,27.06,0.0,50.0,1.0,0.35,0.37,CRITICAL,0.99,FUNCTIONAL,0.914,FUNCTIONAL,0.975,FUNCTIONAL,0.925,FUNCTIONAL
Sobreproducció 24/7,15,27.08,0.0,50.0,1.0,0.4,0.352,CRITICAL,0.989,FUNCTIONAL,0.908,FUNCTIONAL,0.975,FUNCTIONAL,0.921,FUNCTIONAL
Sobreproducció 24/7,16,23.16,0.0,50.0,1.0,0.39,0.335,CRITICAL,0.988,FUNCTIONAL,0.903,FUNCTIONAL,0.975,FUNCTIONAL,0.917,FUNCTIONAL
Sobreproducció 24/7,17,23.2,0.0,50.0,1.0,0.37,0.319,CRITICAL,0.987,FUNCTIONAL,0.897,FUNCTIONAL,0.975,FUNCTIONAL,0.913,FUNCTIONAL
Sobreproducció 24/7,18,20.43,0.0,50.0,1.0,0.39,0.303,CRITICAL,0.985,FUNCTIONAL,0.892,FUNCTIONAL,0.974,FUNCTIONAL,0.908,FUNCTIONAL
Sobreproducció 24/7,19,20.39,0.0,50.0,1.0,0.42,0.288,CRITICAL,0.984,FUNCTIONAL,0.887,FUNCTIONAL,0.974,FUNCTIONAL,0.904,FUNCTIONAL
Sobreproducció 24/7,20,22.53,0.0,50.0,1.0,0.44,0.274,CRITICAL,0.983,FUNCTIONAL,0.881,FUNCTIONAL,0.974,FUNCTIONAL,0.9,FUNCTIONAL
Sobreproducció 24/7,21,23.1,0.0,50.0,1.0,0.43,0.261,CRITICAL,0.981,FUNCTIONAL,0.876,FUNCTIONAL,0.973,FUNCTIONAL,0.896,FUNCTIONAL
Sobreproducció 24/7,22,21.83,0.0,50.0,1.0,0.45,0.248,CRITICAL,0.98,FUNCTIONAL,0.87,FUNCTIONAL,0.973,FUNCTIONAL,0.892,FUNCTIONAL
Sobreproducció 24/7,23,21.6,0.0,50.0,1.0,0.41,0.236,CRITICAL,0.979,FUNCTIONAL,0.865,FUNCTIONAL,0.973,FUNCTIONAL,0.888,FUNCTIONAL
Sobreproducció 24/7,24,19.14,0.0,50.0,1.0,0.42,0.225,CRITICAL,0.977,FUNCTIONAL,0.859,FUNCTIONAL,0.972,FUNCTIONAL,0.884,FUNCTIONAL
Sobreproducció 24/7,25,18.12,0.0,50.0,1.0,0.44,0.214,CRITICAL,0.976,FUNCTIONAL,0.854,FUNCTIONAL,0.971,FUNCTIONAL,0.88,FUNCTIONAL
Sobreproducció 24/7,26,18.25,0.0,50.0,1.0,0.45,0.203,CRITICAL,0.974,FUNCTIONAL,0.848,FUNCTIONAL,0.971,FUNCTIONAL,0.876,FUNCTIONAL
Sobreproducció 24/7,27,19.15,0.0,50.0,1.0,0.43,0.193,CRITICAL,0.973,FUNCTIONAL,0.843,FUNCTIONAL,0.97,FUNCTIONAL,0.872,FUNCTIONAL
Sobreproducció 24/7,28,16.14,0.0,50.0,1.0,0.47,0.184,CRITICAL,0.971,FUNCTIONAL,0.838,FUNCTIONAL,0.969,FUNCTIONAL,0.869,FUNCTIONAL
Sobreproducció 24/7,29,17.07,0.0,50.0,1.0,0.45,0.175,CRITICAL,0.969,FUNCTIONAL,0.832,FUNCTIONAL,0.968,FUNCTIONAL,0.865,FUNCTIONAL
Sobreproducció 24/7,30,14.79,0.0,50.0,1.0,0.48,0.166,CRITICAL,0.968,FUNCTIONAL,0.827,FUNCTIONAL,0.967,FUNCTIONAL,0.861,FUNCTIONAL
Sobreproducció 24/7,31,12.06,0.0,50.0,1.0,0.47,0.158,CRITICAL,0.966,FUNCTIONAL,0.821,FUNCTIONAL,0.966,FUNCTIONAL,0.857,FUNCTIONAL
Sobreproducció 24/7,32,11.41,0.0,50.0,1.0,0.47,0.151,CRITICAL,0.964,FUNCTIONAL,0.816,FUNCTIONAL,0.965,FUNCTIONAL,0.853,FUNCTIONAL
Sobreproducció 24/7,33,11.86,0.0,50.0,1.0,0.47,0.143,CRITICAL,0.962,FUNCTIONAL,0.81,FUNCTIONAL,0.963,FUNCTIONAL,0.85,FUNCTIONAL
Sobreproducció 24/7,34,13.3,0.0,50.0,1.0,0.49,0.136,CRITICAL,0.96,FUNCTIONAL,0.805,FUNCTIONAL,0.962,FUNCTIONAL,0.846,FUNCTIONAL
Sobreproducció 24/7,35,13.55,0.0,50.0,1.0,0.47,0.13,CRITICAL,0.959,FUNCTIONAL,0.799,DEGRADED,0.961,FUNCTIONAL,0.842,FUNCTIONAL
Sobreproducció 24/7,36,11.02,0.0,50.0,1.0,0.5,0.123,CRITICAL,0.957,FUNCTIONAL,0.794,DEGRADED,0.96,FUNCTIONAL,0.839,FUNCTIONAL
Sobreproducció 24/7,37,10.0,0.0,50.0,1.0,0.49,0.117,CRITICAL,0.955,FUNCTIONAL,0.788,DEGRADED,0.958,FUNCTIONAL,0.835,FUNCTIONAL
Sobreproducció 24/7,38,10.0,0.0,50.0,1.0,0.47,0.112,CRITICAL,0.953,FUNCTIONAL,0.783,DEGRADED,0.957,FUNCTIONAL,0.831,FUNCTIONAL
Sobreproducció 24/7,39,10.0,0.0,50.0,1.0,0.5,0.106,CRITICAL,0.951,FUNCTIONAL,0.778,DEGRADED,0.955,FUNCTIONAL,0.828,FUNCTIONAL
Sobreproducció 24/7,40,10.5,0.0,50.0,1.0,0.48,0.101,CRITICAL,0.949,FUNCTIONAL,0.772,DEGRADED,0.954,FUNCTIONAL,0.824,FUNCTIONAL
Sobreproducció 24/7,41,10.0,0.0,50.0,1.0,0.51,0.096,FAILED,0.947,FUNCTIONAL,0.767,DEGRADED,0.952,FUNCTIONAL,0.821,FUNCTIONAL
